ID,USER_ID,SUB,SUB_U,SUB_G,PERIOD,PERIOD_AMOUNT,SOLD_TS,SOLD_MONTH,ACTUAL_START_TS,ACTUAL_END_TS,EXPECTED_END_TS,REFUND_TS,CHARGEBACK_TS,LAG_DAYS_REFUND,PLAN_ID,AUTO_RENEWAL,PRICE,USD_PRICE,MERCHANT_ID,CURRENCY,PREADJ_SUB_NUMBER,SUBSCRIPTION_NUMBER,COHORT_NUMBER,PRODUCT_COHORT,PRODUCT_COHORT_TS,COHORT_NUMBER_U,PRODUCT_COHORT_U,PRODUCT_COHORT_U_TS,FTS_COHORT,FTS_COHORT_TS,RETENTION_NUMBER,RETENTION_COHORT,RETENTION_COHORT_TS,RETENTION_NUMBER_U,RETENTION_COHORT_U,RETENTION_COHORT_U_TS,FTS_SUB,FTS_SUB_U,LAG_DAYS_FROM_PREV_SUB,COUNTRY_CODE,DEVICE,LOC,RETENTION_TYPE,RETENTION_TYPE_U,VUID,NEXT_MERCHANT_ID,NEXT_SOLD_TS,NEXT_START_TS,NEXT_END_TS,NEXT_SUB,NEXT_SUB_U,NEXT_SUB_UPGRADE,PREV_MERCHANT_ID,PREV_SOLD_TS,PREV_START_TS,PREV_END_TS,PREV_SUB,PREV_SUB_U,PREV_SUB_UPGRADE,IS_PREV_FREETRIAL,IS_PREV_FREETRIAL_MERCHANT_ID,STORE_REFERRER,LTR
63440866,XXX,plus yearly,plus yearly,plus,year,1,6/6/2016 5:33,6/1/2016,6/6/2016 5:33,6/6/2017 0:00,6/6/2017,(null),(null),(null),708406,FALSE,49.95,54.91789673,XXX,EUR,1,1,0,6/1/2016,6/6/2016 5:33,0,6/1/2016,6/6/2016 5:33,6/1/2016,6/6/2016 5:33,1,6/1/2016,6/6/2016 5:33,1,6/1/2016,6/6/2016 5:33,plus yearly,plus yearly,(null),FR,desktop,onsite,fts,fts,pl2129915995.2011448259,xxx,6/6/2017 6:20,6/6/2017 6:20,6/6/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
64325620,XXX,plus yearly,plus yearly,plus,year,1,10/5/2016 8:10,10/1/2016,10/5/2016 8:10,10/5/2017 0:00,10/5/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,10/1/2016,10/5/2016 8:10,0,10/1/2016,10/5/2016 8:10,10/1/2016,10/5/2016 8:10,1,10/1/2016,10/5/2016 8:10,1,10/1/2016,10/5/2016 8:10,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,1047366743,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
62214498,XXX,plus yearly,plus yearly,plus,year,1,2/22/2016 14:16,2/1/2016,2/22/2016 14:16,2/22/2017 0:00,2/22/2017,(null),(null),(null),708406,FALSE,69.95,49.9026665,XXX,CAD,1,1,0,2/1/2016,2/22/2016 14:16,0,2/1/2016,2/22/2016 14:16,2/1/2016,2/22/2016 14:16,1,2/1/2016,2/22/2016 14:16,1,2/1/2016,2/22/2016 14:16,plus yearly,plus yearly,(null),CA,desktop,onsite,fts,fts,909177897.8,xxx,2/27/2017 11:15,2/27/2017 11:15,2/22/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63843057,XXX,plus yearly,plus yearly,plus,year,1,7/31/2016 20:03,7/1/2016,7/31/2016 20:03,7/31/2017 0:00,7/31/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,7/1/2016,7/31/2016 20:03,0,7/1/2016,7/31/2016 20:03,7/1/2016,7/31/2016 20:03,1,7/1/2016,7/31/2016 20:03,1,7/1/2016,7/31/2016 20:03,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,pl1935934657.458973404,xxx,7/31/2017 4:08,7/31/2017 4:08,7/31/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
62971664,XXX,plus yearly,plus yearly,plus,year,1,4/4/2016 15:47,4/1/2016,4/4/2016 15:47,4/4/2017 0:00,4/4/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,4/1/2016,4/4/2016 15:47,0,4/1/2016,4/4/2016 15:47,4/1/2016,4/4/2016 15:47,1,4/1/2016,4/4/2016 15:47,1,4/1/2016,4/4/2016 15:47,plus yearly,plus yearly,(null),PE,desktop,onsite,fts,fts,728963013.2,xxx,4/4/2017 17:48,4/4/2017 17:48,4/4/2018 0:00,pro,pro,1,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
64569360,XXX,plus monthly,plus monthly,plus,month,1,12/2/2016 18:30,12/1/2016,12/2/2016 18:30,1/2/2017 0:00,1/2/2017,(null),(null),(null),708407,FALSE,9.95,9.95,XXX,USD,1,1,0,12/1/2016,12/2/2016 18:30,0,12/1/2016,12/2/2016 18:30,12/1/2016,12/2/2016 18:30,1,12/1/2016,12/2/2016 18:30,1,12/1/2016,12/2/2016 18:30,plus monthly,plus monthly,(null),US,desktop,onsite,fts,fts,2114406420,xxx,1/2/2017 4:51,1/2/2017 4:51,2/2/2017 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
7312805,XXX,pro,pro business,business,year,1,11/2/2017 10:46,11/1/2017,11/2/2017 10:46,11/2/2018 0:00,11/2/2018,(null),(null),(null),838362,FALSE,599,599,XXX,USD,1,1,0,11/1/2017,11/2/2017 10:46,0,11/1/2017,11/2/2017 10:46,11/1/2017,11/2/2017 10:46,1,11/1/2017,11/2/2017 10:46,1,11/1/2017,11/2/2017 10:46,pro,pro business,(null),US,desktop,onsite,fts,fts,1009034524,xxx,11/2/2018 8:14,11/2/2018 8:14,11/2/2019 0:00,pro,pro business,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),2266
61333171,XXX,plus monthly,plus monthly,plus,month,1,2/7/2016 23:02,2/1/2016,2/7/2016 23:02,3/7/2016 0:00,3/7/2016,(null),(null),(null),708407,FALSE,9.95,9.95,XXX,USD,1,1,0,2/1/2016,2/7/2016 23:02,0,2/1/2016,2/7/2016 23:02,2/1/2016,2/7/2016 23:02,1,2/1/2016,2/7/2016 23:02,1,2/1/2016,2/7/2016 23:02,plus monthly,plus monthly,(null),US,desktop,onsite,fts,fts,40252947.47,xxx,3/7/2016 3:35,3/7/2016 3:35,4/7/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
64441636,XXX,plus monthly,plus monthly,plus,month,1,10/28/2016 9:30,10/1/2016,10/28/2016 9:30,11/28/2016 0:00,11/28/2016,(null),(null),(null),708407,FALSE,649.95,10.20914292,XXX,RUB,1,1,0,10/1/2016,10/28/2016 9:30,0,10/1/2016,10/28/2016 9:30,10/1/2016,10/28/2016 9:30,1,10/1/2016,10/28/2016 9:30,1,10/1/2016,10/28/2016 9:30,plus monthly,plus monthly,(null),RU,desktop,onsite,fts,fts,pl577334462.2014534304,xxx,11/28/2016 5:07,11/28/2016 5:07,12/28/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
63521502,XXX,plus yearly,plus yearly,plus,year,1,6/16/2016 11:17,6/1/2016,6/16/2016 11:17,6/16/2017 0:00,6/16/2017,(null),(null),(null),708406,FALSE,74.95,54.47506531,XXX,SGD,1,1,0,6/1/2016,6/16/2016 11:17,0,6/1/2016,6/16/2016 11:17,6/1/2016,6/16/2016 11:17,1,6/1/2016,6/16/2016 11:17,1,6/1/2016,6/16/2016 11:17,plus yearly,plus yearly,(null),SG,desktop,onsite,fts,fts,pl1807116252.1690707439,xxx,6/16/2017 9:07,6/16/2017 9:07,6/16/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63357961,XXX,plus yearly,plus yearly,plus,year,1,5/25/2016 17:09,5/1/2016,5/25/2016 17:09,5/25/2017 0:00,5/25/2017,(null),(null),(null),708406,FALSE,49.95,55.298887,XXX,EUR,1,1,0,5/1/2016,5/25/2016 17:09,0,5/1/2016,5/25/2016 17:09,5/1/2016,5/25/2016 17:09,1,5/1/2016,5/25/2016 17:09,1,5/1/2016,5/25/2016 17:09,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,1626720174,xxx,6/18/2017 10:26,6/18/2017 10:26,5/25/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
